"timestamp","temperatura_C","umidade_solo_perc","ph_solo","npk_nitrogenio","npk_fosforo","npk_potassio","irrigacao_ativada","nivel_bateria_perc","conexao_wifi"
2025-10-05 09:48:35.137597,29.1621733583739,47.3337908253298,6.66473644879197,0,0,0,0,99.7202994677404,1
2025-10-05 10:48:35.137597,28.291546480003,39.47490878927,6.33210872361767,1,1,0,0,100.846269583851,1
2025-10-05 11:48:35.137597,32.7325565082832,53.3370937152033,6.30264803015138,1,1,1,0,99.8130634592233,1
2025-10-05 12:48:35.137597,36.7367003998328,46.8479501395821,6.76455820109707,0,1,1,1,96.9724925821667,1
2025-10-05 13:48:35.137597,36.3514617069316,38.1624524992972,6.61587538478584,1,1,1,1,96.5652447115777,1
2025-10-05 14:48:35.137597,31.9818686424973,43.2927589118193,6.6744879773764,1,1,1,0,96.9505039204196,1
2025-10-05 15:48:35.137597,28.6519655449497,57.0782424395145,6.7202999110397,0,1,1,0,93.1415381137904,0
2025-10-05 16:48:35.137597,25.5564269786838,50.8688229286387,6.89908324539646,1,1,0,0,95.0120057085118,1
2025-10-05 17:48:35.137597,25.5676046421442,47.9694764232284,6.84924711209499,1,1,0,0,97.1525479787956,1
2025-10-05 18:48:35.137597,28.2891034634451,60.0915594363306,6.91036402774223,1,1,1,0,92.1030504816316,1
2025-10-05 19:48:35.137597,23.3340728125948,70.0223326106689,6.9319145656336,1,1,1,0,95.0353882009971,1
2025-10-05 20:48:35.137597,21.5162003120842,68.6767554781872,7.14324119562343,1,0,1,0,93.3059547095427,1
2025-10-05 21:48:35.137597,19.3160002053744,79.5852983145052,6.66600325467797,1,1,1,0,97.3686476034937,1
2025-10-05 22:48:35.137597,15.7445754689869,69.8677789500943,6.97671364745889,0,1,1,0,92.5256320488565,1
2025-10-05 23:48:35.137597,20.4199572439632,84.7729047787197,6.71660501280344,1,0,1,0,90.0451957286381,1
2025-10-06 00:48:35.137597,18.4225521784985,81.6482832202625,6.81840906917905,0,1,1,0,91.0804232766515,1
2025-10-06 01:48:35.137597,18.5259718328062,84.4972069988514,6.51004728823018,1,0,1,0,92.7476156860601,1
2025-10-06 02:48:35.137597,18.3292172941207,71.4397880332783,6.63777299666022,1,1,1,0,90.1670004620857,1
2025-10-06 03:48:35.137597,17.3795531075525,74.6784831593857,6.68574065301483,1,1,1,0,89.9070966418386,0
2025-10-06 04:48:35.137597,21.8167868816741,74.0960649225119,6.89574862522774,1,1,1,0,88.3680341329257,1
2025-10-06 05:48:35.137597,22.2447703585469,60.4509181089592,6.62369352444584,1,0,1,0,90.3719230511361,1
2025-10-06 06:48:35.137597,23.6807495214158,58.8808702842943,6.47771213136791,0,1,1,0,87.6455367464891,1
2025-10-06 07:48:35.137597,26.0691862903788,53.2626234976271,6.8032791388431,0,1,1,0,89.8449068246507,1
2025-10-06 08:48:35.137597,30.2500806127477,52.0295253214321,6.58635470736305,1,1,1,0,90.5293981437136,1
2025-10-06 09:48:35.137597,31.2307067235476,53.9524104497907,6.67826979883006,1,1,1,0,87.0440512974936,1
2025-10-06 10:48:35.137597,33.985029672115,47.1458018913374,6.17969029137276,1,1,1,1,87.7339154097821,1
2025-10-06 11:48:35.137597,34.1089920669036,30.8466307244451,6.44405358632499,0,0,0,1,85.3841634894229,1
2025-10-06 12:48:35.137597,33.0836834229291,36.877746163856,6.19772002376775,1,1,1,1,85.9112600294523,1
2025-10-06 13:48:35.137597,32.0952958901547,37.2363658617847,6.33345431645994,0,0,1,1,85.740753725378,0
2025-10-06 14:48:35.137597,31.326711255209,45.9522617480213,6.52451533489254,1,0,1,0,86.8814308058858,1
2025-10-06 15:48:35.137597,30.8147836883591,50.1494103915404,6.04461534254668,1,1,0,0,82.0299136417197,1
2025-10-06 16:48:35.137597,27.194612734262,50.4392222565622,6.13924767788456,1,0,1,0,84.5930526929187,1
2025-10-06 17:48:35.137597,22.9781447351612,49.3458585638283,6.07346633855027,1,0,0,0,81.935663995659,1
2025-10-06 18:48:35.137597,21.2850272060539,50.4736267062222,6.29164849004222,1,1,0,0,80.1681957011025,1
2025-10-06 19:48:35.137597,24.3142490844193,63.9052305763817,6.21468258735547,1,1,0,0,81.7320796713601,0
2025-10-06 20:48:35.137597,19.3825980823168,63.4599594249275,6.08891576359385,0,1,1,0,83.0062426954403,1
2025-10-06 21:48:35.137597,18.4028269899435,71.7608879581693,6.26229092348357,1,1,1,0,83.5198689148156,1
2025-10-06 22:48:35.137597,17.3706726092581,77.0385726432261,6.16355224544462,1,1,0,0,79.6612668890694,1
2025-10-06 23:48:35.137597,18.6792309042897,85.9486158359162,6.09251376951865,1,1,1,0,79.7031227390671,1
2025-10-07 00:48:35.137597,15.8680217296422,80.7701586793153,6.36393696427974,0,0,1,0,77.9606728288043,1
2025-10-07 01:48:35.137597,18.4821830666297,66.768411838369,6.2253877847443,0,1,1,0,74.6133373164857,1
